Title,Genre,Premiere,Runtime,Language
Beasts of No Nation,War drama,"October 16, 2015","2 hours, 17 min.",English
The Ridiculous 6,Western,"December 11, 2015",2 hours,English
Pee-wee's Big Holiday,Adventure,"March 18, 2016","1 hour, 30 min.",English
Special Correspondents,Satire,"April 29, 2016","1 hour, 41 min.",English
The Do-Over,Action comedy,"May 27, 2016","1 hour, 48 min.",English
The Fundamentals of Caring,Comedy drama,"June 24, 2016","1 hour, 37 min.",English
Brahman Naman,Comedy,"July 7, 2016","1 hour, 35 min.",English
Rebirth,Thriller,"July 15, 2016","1 hour, 40 min.",English
Tallulah,Comedy drama,"July 29, 2016","1 hour, 51 min.",English
XOXO,Drama,"August 26, 2016","1 hour, 32 min.",English
ARQ,Science fiction / Thriller,"September 16, 2016","1 hour, 28 min.",English
The Siege of Jadotville,War,"October 7, 2016","1 hour, 48 min.",English
Mascots,Mockumentary,"October 13, 2016","1 hour, 35 min.",English
I Am the Pretty Thing That Lives in the House,Horror,"October 28, 2016","1 hour, 29 min.",English
7 años,Drama,"October 28, 2016","1 hour, 17 min.",Spanish
True Memoirs of an International Assassin,Action comedy,"November 11, 2016","1 hour, 38 min.",English
Mercy,Thriller,"November 22, 2016","1 hour, 27 min.",English
Spectral,Science fiction / Action,"December 9, 2016","1 hour, 48 min.",English
Barry,Biopic,"December 16, 2016","1 hour, 44 min.",English
Coin Heist,Heist,"January 6, 2017","1 hour, 37 min.",English
Clinical,Thriller,"January 13, 2017","1 hour, 44 min.",English
Take the 10,Comedy,"January 20, 2017","1 hour, 20 min.",English
iBOY,Science fiction / Thriller,"January 27, 2017","1 hour, 30 min.",English
Imperial Dreams,Drama,"February 3, 2017","1 hour, 26 min.",English
Girlfriend's Day,Comedy,"February 14, 2017","1 hour, 10 min.",English
I Don't Feel at Home in This World Anymore,Drama,"February 24, 2017","1 hour, 36 min.",English
Burning Sands,Drama,"March 10, 2017","1 hour, 42 min.",English
Deidra & Laney Rob a Train,Drama,"March 17, 2017","1 hour, 32 min.",English
The Most Hated Woman in America,Biopic,"March 24, 2017","1 hour, 32 min.",English
The Discovery,Science fiction / Drama,"March 31, 2017","1 hour, 42 min.",English
Win It All,Comedy,"April 7, 2017","1 hour, 28 min.",English
Sandy Wexler,Comedy,"April 14, 2017","2 hours, 11 min.",English
Sand Castle,War,"April 21, 2017","1 hour, 53 min.",English
Tramps,Romance,"April 21, 2017","1 hour, 23 min.",English
Small Crimes,Dark comedy,"April 28, 2017","1 hour, 35 min.",English
Handsome: A Netflix Mystery Movie,Comedy,"May 5, 2017","1 hour, 21 min.",English
BLAME!,Anime / Science fiction,"May 20, 2017","1 hour, 46 min.",Japanese
War Machine,War-Comedy,"May 26, 2017","2 hours, 2 min.",English
Shimmer Lake,Crime thriller,"June 9, 2017","1 hour, 26 min.",English
Okja,Action-adventure,"June 28, 2017","2 hours, 1 min.",English
To the Bone,Drama,"July 14, 2017","1 hour, 47 min.",English
The Incredible Jessica James,Comedy,"July 28, 2017","1 hour, 23 min.",English
Naked,Comedy,"August 11, 2017","1 hour, 36 min.",English
Death Note,Horror thriller,"August 25, 2017","1 hour, 40 min.",English
Little Evil,Comedy horror,"September 1, 2017","1 hour, 34 min.",English
#realityhigh,Comedy,"September 8, 2017","1 hour, 39 min.",English
First They Killed My Father,Drama,"September 15, 2017","2 hours, 16 min.",Khmer
Gerald's Game,Horror thriller,"September 29, 2017","1 hour, 43 min.",English
Our Souls at Night,Romance,"September 29, 2017","1 hour, 43 min.",English
Bomb Scared,Black comedy,"October 12, 2017","1 hour, 29 min.",Spanish
The Babysitter,Teen comedy horror,"October 13, 2017","1 hour, 25 min.",English
The Meyerowitz Stories (New and Selected),Comedy drama,"October 13, 2017","1 hour, 52 min.",English
1922,Horror / Crime drama,"October 20, 2017","1 hour, 42 min.",English
Wheelman,Action thriller,"October 20, 2017","1 hour, 22 min.",English
The Killer,Western,"November 10, 2017","1 hour, 39 min.",Portuguese
A Christmas Prince,Romantic comedy,"November 17, 2017","1 hour, 32 min.",English
El Camino Christmas,Dark comedy,"December 8, 2017","1 hour, 29 min.",English
Christmas Inheritance,Romantic drama,"December 15, 2017","1 hour, 44 min.",English
Bright,Urban fantasy,"December 22, 2017","1 hour, 57 min.",English